New Village Created!
<<Sanctuary period: 10 years>>
Year: 00, Villagers: 050, Body Count: 00.
Year: 01, Villagers: 060, Body Count: 00.
Year: 02, Villagers: 072, Body Count: 00.
Year: 03, Villagers: 082, Body Count: 00.
Year: 04, Villagers: 087, Body Count: 00.
Year: 05, Villagers: 092, Body Count: 00.
Year: 06, Villagers: 096, Body Count: 00.
Year: 07, Villagers: 099, Body Count: 00.
Year: 08, Villagers: 100, Body Count: 00.
Year: 09, Villagers: 101, Body Count: 00.
Year: 10, Villagers: 104, Body Count: 00.
<<New Disease: [85,15,44], Fitness: 98546.95>>
Year: 11, Villagers: 104, Body Count: 00.
Year: 12, Villagers: 102, Body Count: 02.
Year: 13, Villagers: 100, Body Count: 02.
Year: 14, Villagers: 100, Body Count: 01.
Year: 15, Villagers: 100, Body Count: 01.
Year: 16, Villagers: 102, Body Count: 01.
Year: 17, Villagers: 106, Body Count: 02.
Year: 18, Villagers: 106, Body Count: 09.
Year: 19, Villagers: 098, Body Count: 15.
Year: 20, Villagers: 093, Body Count: 15.
Year: 21, Villagers: 084, Body Count: 18.
<<New Disease: [31,69,49], Fitness: 96140.2>>
Year: 22, Villagers: 075, Body Count: 19.
Year: 23, Villagers: 069, Body Count: 15.
Year: 24, Villagers: 063, Body Count: 15.
Year: 25, Villagers: 065, Body Count: 03.
Year: 26, Villagers: 069, Body Count: 03.
Year: 27, Villagers: 075, Body Count: 00.
Year: 28, Villagers: 079, Body Count: 00.
Year: 29, Villagers: 080, Body Count: 00.
Year: 30, Villagers: 082, Body Count: 00.
Year: 31, Villagers: 087, Body Count: 00.
Year: 32, Villagers: 094, Body Count: 00.
<<New Disease: [42,58,36], Fitness: 159358.4>>
Year: 33, Villagers: 101, Body Count: 00.
Year: 34, Villagers: 107, Body Count: 03.
Year: 35, Villagers: 108, Body Count: 09.
Year: 36, Villagers: 107, Body Count: 16.
Year: 37, Villagers: 104, Body Count: 17.
Year: 38, Villagers: 105, Body Count: 10.
Year: 39, Villagers: 104, Body Count: 13.
Year: 40, Villagers: 107, Body Count: 11.
Year: 41, Villagers: 109, Body Count: 09.
Year: 42, Villagers: 106, Body Count: 14.
Year: 43, Villagers: 109, Body Count: 09.
Year: 44, Villagers: 106, Body Count: 15.
Year: 45, Villagers: 109, Body Count: 12.
<<New Disease: [5,95,5], Fitness: 187605.3>>
Year: 46, Villagers: 106, Body Count: 17.
Year: 47, Villagers: 100, Body Count: 18.
Year: 48, Villagers: 103, Body Count: 11.
Year: 49, Villagers: 097, Body Count: 21.
Year: 50, Villagers: 093, Body Count: 19.
Year: 51, Villagers: 086, Body Count: 19.
Year: 52, Villagers: 082, Body Count: 13.
Year: 53, Villagers: 080, Body Count: 11.
Year: 54, Villagers: 078, Body Count: 08.
Year: 55, Villagers: 074, Body Count: 09.
Year: 56, Villagers: 072, Body Count: 06.
Year: 57, Villagers: 072, Body Count: 04.
Year: 58, Villagers: 072, Body Count: 04.
<<New Disease: [12,88,10], Fitness: 112478>>
Year: 59, Villagers: 068, Body Count: 06.
Year: 60, Villagers: 059, Body Count: 10.
Year: 61, Villagers: 056, Body Count: 04.
Year: 62, Villagers: 050, Body Count: 06.
Year: 63, Villagers: 045, Body Count: 05.
Year: 64, Villagers: 041, Body Count: 04.
Year: 65, Villagers: 033, Body Count: 08.
Year: 66, Villagers: 027, Body Count: 06.
Year: 67, Villagers: 019, Body Count: 08.
Year: 68, Villagers: 015, Body Count: 04.
Year: 69, Villagers: 008, Body Count: 07.
<<Sanctuary period: 10 years>>
Year: 70, Villagers: 004, Body Count: 04.
Year: 71, Villagers: 001, Body Count: 03.
Year: 72, Villagers: 001, Body Count: 00.
Year: 73, Villagers: 001, Body Count: 00.
Year: 74, Villagers: 001, Body Count: 00.
Year: 75, Villagers: 000, Body Count: 01.
Total Body Count: 495, Total Diseases encountered: 5 Average Lifespan: 11 years.
