New Village Created!
Year: 01, Villagers: 100, Body Count: 00.
Year: 02, Villagers: 120, Body Count: 03.
Year: 03, Villagers: 140, Body Count: 06.
Year: 04, Villagers: 150, Body Count: 12.
Year: 05, Villagers: 133, Body Count: 28.
Year: 06, Villagers: 105, Body Count: 32.
Year: 07, Villagers: 078, Body Count: 27.
Year: 08, Villagers: 051, Body Count: 27.
Year: 09, Villagers: 040, Body Count: 11.
Year: 10, Villagers: 029, Body Count: 11.
Year: 11, Villagers: 023, Body Count: 06.
Year: 12, Villagers: 018, Body Count: 05.
Year: 13, Villagers: 017, Body Count: 01.
Year: 14, Villagers: 015, Body Count: 02.
Year: 15, Villagers: 012, Body Count: 03.
Year: 16, Villagers: 010, Body Count: 02.
Year: 17, Villagers: 006, Body Count: 04.
Year: 18, Villagers: 006, Body Count: 00.
Year: 19, Villagers: 006, Body Count: 00.
Year: 20, Villagers: 006, Body Count: 00.
Year: 21, Villagers: 006, Body Count: 00.
Year: 22, Villagers: 000, Body Count: 06.
Total Body Count: 186, Total Diseases encountered: 2 Average Lifespan: 6
