New Village Created!
<<New Disease Phenotype: [74,26,46], Fitness: 142530.5>>
Year: 01, Villagers: 150, Body Count: 00.
Year: 02, Villagers: 188, Body Count: 09.
Year: 03, Villagers: 217, Body Count: 24.
Year: 04, Villagers: 197, Body Count: 56.
Year: 05, Villagers: 152, Body Count: 55.
Year: 06, Villagers: 115, Body Count: 40.
Year: 07, Villagers: 081, Body Count: 34.
Year: 08, Villagers: 053, Body Count: 28.
Year: 09, Villagers: 032, Body Count: 21.
Year: 10, Villagers: 022, Body Count: 10.
Year: 11, Villagers: 017, Body Count: 05.
Year: 12, Villagers: 015, Body Count: 02.
<<New Disease Phenotype: [9,91,18], Fitness: 10525.5>>
Year: 13, Villagers: 010, Body Count: 05.
Year: 14, Villagers: 007, Body Count: 03.
Year: 15, Villagers: 006, Body Count: 01.
Year: 16, Villagers: 004, Body Count: 02.
Year: 17, Villagers: 004, Body Count: 00.
Year: 18, Villagers: 004, Body Count: 00.
Year: 19, Villagers: 004, Body Count: 00.
Year: 20, Villagers: 004, Body Count: 00.
Year: 21, Villagers: 004, Body Count: 00.
Year: 22, Villagers: 004, Body Count: 00.
Year: 23, Villagers: 004, Body Count: 00.
Year: 24, Villagers: 004, Body Count: 00.
Year: 25, Villagers: 004, Body Count: 00.
Year: 26, Villagers: 004, Body Count: 00.
Year: 27, Villagers: 004, Body Count: 00.
Year: 28, Villagers: 003, Body Count: 01.
Year: 29, Villagers: 003, Body Count: 00.
Year: 30, Villagers: 003, Body Count: 00.
Year: 31, Villagers: 003, Body Count: 00.
Year: 32, Villagers: 003, Body Count: 00.
Year: 33, Villagers: 003, Body Count: 00.
Year: 34, Villagers: 003, Body Count: 00.
<<New Disease Phenotype: [92,8,46], Fitness: 1608.4>>
Year: 35, Villagers: 003, Body Count: 00.
Year: 36, Villagers: 002, Body Count: 01.
Year: 37, Villagers: 002, Body Count: 00.
Year: 38, Villagers: 002, Body Count: 00.
Year: 39, Villagers: 002, Body Count: 00.
Year: 40, Villagers: 002, Body Count: 00.
Year: 41, Villagers: 002, Body Count: 00.
Year: 42, Villagers: 002, Body Count: 00.
Year: 43, Villagers: 002, Body Count: 00.
Year: 44, Villagers: 002, Body Count: 00.
Year: 45, Villagers: 002, Body Count: 00.
Year: 46, Villagers: 001, Body Count: 01.
Year: 47, Villagers: 000, Body Count: 01.
Total Body Count: 299, Total Diseases encountered: 3 Average Lifespan: 5
