New Village Created!
<<New Disease: [6,94,5], Fitness: 20273.97>>
Year: 01, Villagers: 150, Body Count: 00.
Year: 02, Villagers: 178, Body Count: 00.
Year: 03, Villagers: 211, Body Count: 00.
Year: 04, Villagers: 241, Body Count: 00.
Year: 05, Villagers: 265, Body Count: 00.
Year: 06, Villagers: 273, Body Count: 00.
Year: 07, Villagers: 276, Body Count: 00.
Year: 08, Villagers: 279, Body Count: 00.
Year: 09, Villagers: 279, Body Count: 00.
Year: 10, Villagers: 279, Body Count: 00.
Year: 11, Villagers: 281, Body Count: 00.
<<New Disease: [72,28,44], Fitness: 277377.6>>
Year: 12, Villagers: 281, Body Count: 00.
Year: 13, Villagers: 275, Body Count: 06.
Year: 14, Villagers: 260, Body Count: 15.
Year: 15, Villagers: 226, Body Count: 35.
Year: 16, Villagers: 173, Body Count: 54.
Year: 17, Villagers: 127, Body Count: 46.
Year: 18, Villagers: 098, Body Count: 32.
Year: 19, Villagers: 066, Body Count: 36.
Year: 20, Villagers: 050, Body Count: 21.
Year: 21, Villagers: 040, Body Count: 17.
Year: 22, Villagers: 035, Body Count: 10.
Year: 23, Villagers: 022, Body Count: 15.
Year: 24, Villagers: 016, Body Count: 07.
Year: 25, Villagers: 015, Body Count: 02.
Year: 26, Villagers: 012, Body Count: 03.
Year: 27, Villagers: 008, Body Count: 04.
Year: 28, Villagers: 004, Body Count: 04.
Year: 29, Villagers: 004, Body Count: 00.
Year: 30, Villagers: 004, Body Count: 00.
Year: 31, Villagers: 004, Body Count: 00.
Year: 32, Villagers: 004, Body Count: 00.
Year: 33, Villagers: 004, Body Count: 00.
<<New Disease: [24,76,20], Fitness: 2025.3>>
Year: 34, Villagers: 004, Body Count: 00.
Year: 35, Villagers: 004, Body Count: 00.
Year: 36, Villagers: 004, Body Count: 00.
Year: 37, Villagers: 004, Body Count: 00.
Year: 38, Villagers: 004, Body Count: 00.
Year: 39, Villagers: 004, Body Count: 00.
Year: 40, Villagers: 004, Body Count: 00.
Year: 41, Villagers: 004, Body Count: 00.
Year: 42, Villagers: 004, Body Count: 00.
Year: 43, Villagers: 004, Body Count: 00.
Year: 44, Villagers: 004, Body Count: 00.
Year: 45, Villagers: 003, Body Count: 01.
Year: 46, Villagers: 003, Body Count: 00.
Year: 47, Villagers: 003, Body Count: 00.
Year: 48, Villagers: 003, Body Count: 00.
Year: 49, Villagers: 003, Body Count: 00.
Year: 50, Villagers: 003, Body Count: 00.
Year: 51, Villagers: 003, Body Count: 00.
Year: 52, Villagers: 003, Body Count: 00.
Year: 53, Villagers: 003, Body Count: 00.
Year: 54, Villagers: 003, Body Count: 00.
Year: 55, Villagers: 003, Body Count: 00.
Year: 56, Villagers: 003, Body Count: 00.
Year: 57, Villagers: 003, Body Count: 00.
Year: 58, Villagers: 003, Body Count: 00.
Year: 59, Villagers: 003, Body Count: 00.
Year: 60, Villagers: 003, Body Count: 00.
Year: 61, Villagers: 003, Body Count: 00.
Year: 62, Villagers: 003, Body Count: 00.
Year: 63, Villagers: 003, Body Count: 00.
Year: 64, Villagers: 003, Body Count: 00.
Year: 65, Villagers: 002, Body Count: 01.
Year: 66, Villagers: 001, Body Count: 01.
Year: 67, Villagers: 001, Body Count: 00.
Year: 68, Villagers: 000, Body Count: 01.
Total Body Count: 311, Total Diseases encountered: 3 Average Lifespan: 15
